atr14,catalyst_score,close,company,entry_score,fundamental_score,industry,market_cap,pivot,rank,rr_ratio,rr_score,rs_rank,sector,stop_pct,t_count,target_pct,ticker,total_score,trend_score,tt_checks,tt_score,vcp,vcp_grade,vcp_score_raw
"4.61","55","142.98","Turning Point Brands, Inc.","44","75","Tobacco","2726736640","143.98","11","3","100","50","Consumer Defensive","6.45","4","19.35","TPB","67.4","72","[object Object]","9","[object Object]","D","32"
"0.67","75","24.24","Innoviva, Inc.","46","60","Biotechnology","1812402048","24.25","12","6.55","100","50","Healthcare","5.52","4","36.14","INVA","67","72","[object Object]","9","[object Object]","D","35"
"1.96","65","67.63","First American Corporation (New","46","65","Insurance - Specialty","6891496960","68.75","13","3","100","50","Financial Services","5.79","4","17.4","FAF","66.8","72","[object Object]","9","[object Object]","D","35"
"0.99","55","35.03","Archrock, Inc.","44","70","Oil & Gas Equipment & Services","6143198720","35.29","14","3","100","50","Energy","5.63","4","16.88","AROC","66.1","72","[object Object]","9","[object Object]","D","32"
"1.33","75","27.26","Heritage Insurance Holdings, In","41","60","Insurance - Property & Casualty","845538944","27.88","15","3.78","100","50","Financial Services","8","4","30.23","HRTG","66","72","[object Object]","9","[object Object]","C","52"
"15.05","30","342.82","Teradyne, Inc.","47","80","Semiconductor Equipment & Materials","54533591040","343.69","16","3","100","50","Technology","8","2","24","TER","65.5","72","[object Object]","9","[object Object]","D","37"
"11.2","50","302.18","Keysight Technologies Inc.","32","80","Scientific & Technical Instruments","51919695872","309","17","3","100","50","Technology","7.41","4","22.23","KEYS","65.5","72","[object Object]","9","[object Object]","D","37"
"2.18","45","77.27","Victory Capital Holdings, Inc. ","53","65","Asset Management","5017562624","77.78","18","3","100","50","Financial Services","5.63","4","16.9","VCTR","65.2","72","[object Object]","9","[object Object]","C","47"
"11.78","55","285.26","MasTec, Inc.","44","65","Engineering & Construction","22509283328","290.73","19","3","100","50","Industrials","8","4","24","MTZ","64.9","72","[object Object]","9","[object Object]","D","32"
"9.46","50","346.08","Moog Inc.","47","65","Aerospace & Defense","10984355840","350.56","20","3","100","50","Industrials","5.47","4","16.4","MOG-A","64.8","72","[object Object]","9","[object Object]","D","37"
"8.5","45","384.33","Amgen Inc.","44","70","Drug Manufacturers - General","207179857920","387.49","21","3","100","50","Healthcare","4.42","4","13.27","AMGN","64.6","72","[object Object]","9","[object Object]","D","32"
"0.12","40","41.91","Sealed Air Corporation","65","55","Packaging & Containers","6172133888","42.21","22","14.47","100","50","Consumer Cyclical","0.57","4","8.23","SEE","64.3","72","[object Object]","9","[object Object]","B","67"
"10.3","30","215.2","Southern Copper Corporation","41","80","Copper","177768611840","220.76","23","3","100","50","Basic Materials","8","3","24","SCCO","64.3","72","[object Object]","9","[object Object]","C","52"
"0.61","45","18.12","Northpointe Bancshares, Inc.","57","70","Banks - Regional","622687680","19.48","24","2.75","70","50","Financial Services","6.79","4","18.65","NPB","64.2","72","[object Object]","9","[object Object]","B","62"
"3.37","70","135.47","Granite Construction Incorporat","44","65","Engineering & Construction","5913239552","137.2","25","2.69","70","50","Industrials","4.98","4","13.38","GVA","64.1","72","[object Object]","9","[object Object]","D","32"
"0.83","35","39.6","LTC Properties, Inc.","46","70","REIT - Healthcare Facilities","1885521920","39.85","26","3","100","50","Real Estate","4.19","4","12.57","LTC","63.5","72","[object Object]","9","[object Object]","D","35"
"1.54","75","42.51","Cadre Holdings, Inc.","33","55","Aerospace & Defense","1729377664","46","27","3.74","100","50","Industrials","7.23","4","27.03","CDRE","63.2","72","[object Object]","9","[object Object]","C","47"
"2.78","65","96.22","Globus Medical, Inc.","49","60","Medical Devices","12995208192","96.33","28","2.39","70","50","Healthcare","5.78","4","13.84","GMED","63.1","72","[object Object]","9","[object Object]","C","40"
"0.78","45","49.31","MidWestOne Financial Group, Inc","80","35","Banks - Regional","1017475776","49.69","29","3","100","50","Financial Services","3.16","4","9.49","MOFG","63.1","72","[object Object]","9","[object Object]","B","68"
"1.15","50","36.16","Dorian LPG Ltd.","44","60","Oil & Gas Midstream","1545626752","36.17","30","3","100","50","Energy","6.38","4","19.13","LPG","62.9","72","[object Object]","9","[object Object]","D","32"
"7.16","45","130.1","Everus Construction Group, Inc.","27","75","Engineering & Construction","6635955712","137.64","31","3","100","50","Industrials","8","4","24","ECG","62.5","72","[object Object]","9","[object Object]","D","37"
"24.65","55","455.25","Sterling Infrastructure, Inc.","32","65","Engineering & Construction","13984994304","470","32","3","100","50","Industrials","8","3","24","STRL","62.5","72","[object Object]","9","[object Object]","D","37"
"0.62","65","20.32","Old Second Bancorp, Inc.","33","70","Banks - Regional","1070238592","21.92","33","2.83","70","50","Financial Services","6.11","4","17.29","OSBC","62.4","72","[object Object]","9","[object Object]","C","47"
"1.6","30","56.38","Federated Hermes, Inc.","44","70","Asset Management","4372836352","56.68","34","3","100","50","Financial Services","5.68","4","17.05","FHI","62.4","72","[object Object]","9","[object Object]","D","32"
"1.54","45","85.41","Monster Beverage Corporation","44","60","Beverages - Non-Alcoholic","83447382016","85.77","35","3","100","50","Consumer Defensive","3.6","4","10.79","MNST","62.1","72","[object Object]","9","[object Object]","D","32"
"1.98","80","39.97","Cogent Biosciences, Inc.","79","10","Biotechnology","6487483392","40.45","36","4.34","100","50","Healthcare","8","4","34.68","COGT","61.9","72","[object Object]","9","[object Object]","A","90"
"0.83","45","37.62","Tanger Inc.","55","50","REIT - Retail","4307866112","37.69","37","3","100","50","Real Estate","4.43","4","13.28","SKT","61.8","72","[object Object]","9","[object Object]","C","50"
"0.84","50","25.93","EZCORP, Inc.","44","55","Credit Services","1599809024","26.35","38","4.09","100","50","Financial Services","6.48","4","26.49","EZPW","61.6","72","[object Object]","9","[object Object]","D","32"
"19.06","45","684.27","Ulta Beauty, Inc.","29","70","Specialty Retail","30681548800","714.97","39","3","100","50","Consumer Cyclical","5.57","4","16.71","ULTA","61.6","72","[object Object]","9","[object Object]","D","32"
"2.82","50","68.82","Freeport-McMoRan, Inc.","56","45","Copper","98908217344","69.75","40","3","100","50","Basic Materials","8","4","24","FCX","61.5","72","[object Object]","9","[object Object]","C","52"
"6.97","50","160.43","Corning Incorporated","30","65","Electronic Components","137640607744","148.7","41","3","100","50","Technology","8","2","24","GLW","61.3","72","[object Object]","9","[object Object]","D","34"
"14.7","55","197.16","Vicor Corporation","32","60","Electronic Components","8856282112","203.86","42","3","100","50","Technology","8","2","24","VICR","61.2","72","[object Object]","9","[object Object]","D","37"
"11.33","30","277.57","Jabil Inc.","44","65","Electronic Components","29650849792","281.22","43","3","100","50","Technology","8","4","24","JBL","61.1","72","[object Object]","9","[object Object]","D","32"
"5.88","35","304.76","The Travelers Companies, Inc.","46","60","Insurance - Property & Casualty","67980812288","309.37","44","3","100","50","Financial Services","3.86","4","11.57","TRV","61","72","[object Object]","9","[object Object]","D","35"
"2.5","80","53.44","Harrow, Inc.","49","30","Drug Manufacturers - Specialty & Generic","1979281408","54.1","45","4.02","100","50","Healthcare","8","4","32.16","HROW","60.9","72","[object Object]","9","[object Object]","C","40"
"1.24","75","42.23","Fresh Del Monte Produce, Inc.","46","35","Farm Products","2025981696","42.98","46","3.93","100","50","Consumer Defensive","5.89","4","23.14","FDP","60.8","72","[object Object]","9","[object Object]","D","35"
"51.71","65","632.38","Sandisk Corporation","46","65","Computer Hardware","93318578176","691.54","47","1.82","40","50","Technology","8","2","14.53","SNDK","60.8","72","[object Object]","9","[object Object]","B","69"
"1.88","75","29.39","Alumis Inc.","77","10","Biotechnology","3664665600","30.6","48","3.66","100","50","Healthcare","8","2","29.3","ALMS","60.7","72","[object Object]","9","[object Object]","A","87"
"2.16","50","77.38","New York Times Company (The)","44","50","Publishing","12598919168","78.37","49","3","100","50","Communication Services","5.59","4","16.77","NYT","60.4","72","[object Object]","9","[object Object]","D","32"
"17.86","45","435.58","Huntington Ingalls Industries, ","29","65","Aerospace & Defense","17093329920","451.86","50","3","100","50","Industrials","8","4","24","HII","60.4","72","[object Object]","9","[object Object]","D","32"
"14.4","55","302.03","FTAI Aviation Ltd.","53","80","Rental & Leasing Services","30980102144","310","51","0.52","0","50","Industrials","8","2","4.16","FTAI","60.4","72","[object Object]","9","[object Object]","B","72"
"2.1","35","53.1","Phibro Animal Health Corporatio","24","75","Drug Manufacturers - Specialty & Generic","2152393472","56.3","52","3","100","50","Healthcare","7.92","4","23.76","PAHC","60.4","72","[object Object]","9","[object Object]","D","32"
"15.41","50","675.74","Caseys General Stores, Inc.","44","50","Specialty Retail","25047607296","685.54","53","3","100","50","Consumer Cyclical","4.56","4","13.68","CASY","60.4","72","[object Object]","9","[object Object]","D","32"
"4.74","55","92.16","Semtech Corporation","53","40","Semiconductors","8528492032","93.96","54","3","100","50","Technology","8","4","24","SMTC","60.4","72","[object Object]","9","[object Object]","C","47"
"0.3","35","15","Black Stone Minerals, L.P.","55","50","Oil & Gas E&P","3177936128","15.29","55","3","100","50","Energy","4.02","4","12.06","BSM","60.3","72","[object Object]","9","[object Object]","C","50"
"1.6","80","29.28","Enliven Therapeutics, Inc.","70","10","Biotechnology","1737689472","29.6","56","4.94","100","50","Healthcare","8","2","39.54","ELVN","60.1","72","[object Object]","9","[object Object]","B","75"
"3.48","45","149.06","Exxon Mobil Corporation","29","30","Oil & Gas Integrated","621097779200","155.89","57","3","100","90.9","Energy","4.67","4","14","XOM","60","100","[object Object]","10","[object Object]","D","32"
"4.78","70","59.27","DigitalOcean Holdings, Inc.","27","50","Software - Infrastructure","5422739456","70.43","58","3.42","100","50","Technology","8","4","27.38","DOCN","60","72","[object Object]","9","[object Object]","D","37"
"6.71","30","291.27","Cboe Global Markets, Inc.","44","60","Financial Data & Stock Exchanges","30479806464","295","59","3","100","50","Financial Services","4.61","4","13.83","CBOE","59.9","72","[object Object]","9","[object Object]","D","32"
"17.47","75","379.02","InterDigital, Inc.","44","45","Software - Application","9757700096","383.13","60","2.76","70","50","Technology","8","4","22.07","IDCC","59.9","72","[object Object]","9","[object Object]","D","32"
"26.31","65","421.85","Seagate Technology Holdings PLC","48","60","Computer Hardware","91994128384","459.84","61","1.59","40","50","Technology","8","2","12.68","STX","59.9","72","[object Object]","9","[object Object]","B","72"
"5.5","60","128.9","SharkNinja, Inc.","29","65","Furnishings, Fixtures & Appliances","18193797120","133.99","62","2.02","70","50","Consumer Cyclical","8","4","16.17","SN","59.6","72","[object Object]","9","[object Object]","D","32"
"0.82","70","45.15","Royalty Pharma plc","44","35","Biotechnology","26115176448","45.9","63","3.58","100","50","Healthcare","3.62","4","12.96","RPRX","59.6","72","[object Object]","9","[object Object]","D","32"
"2.98","55","26.13","Greenwich LifeSciences, Inc.","99","0","Biotechnology","362019104","26.2","64","10.22","100","50","Healthcare","8","2","81.78","GLSI","59.6","72","[object Object]","9","[object Object]","A","99"
"2.24","65","79.12","Cisco Systems, Inc.","24","60","Communication Equipment","312610619392","88.19","65","2.16","70","65.9","Technology","5.67","4","12.25","CSCO","59.6","77","[object Object]","9","[object Object]","D","32"
"3.14","45","137.28","DT Midstream, Inc.","44","50","Oil & Gas Midstream","13957796864","138.31","66","3","100","50","Energy","4.58","4","13.73","DTM","59.6","72","[object Object]","9","[object Object]","D","32"
"11.41","65","249.48","Lam Research Corporation","41","80","Semiconductor Equipment & Materials","313354354688","256.68","67","1.27","0","50","Technology","8","3","10.13","LRCX","59.5","72","[object Object]","9","[object Object]","C","52"
"3.44","45","64.9","Alcoa Corporation","56","40","Aluminum","16806765568","66.22","68","3","100","50","Basic Materials","8","4","24","AA","59.5","72","[object Object]","9","[object Object]","C","52"
"3.33","45","184.22","Chevron Corporation","46","20","Oil & Gas Integrated","368320937984","187.9","69","3","100","84.1","Energy","3.62","4","10.85","CVX","59.5","95","[object Object]","10","[object Object]","D","35"
"25.92","30","801.8","EMCOR Group, Inc.","29","70","Engineering & Construction","35893268480","835","70","3","100","50","Industrials","6.46","4","19.39","EME","59.4","72","[object Object]","9","[object Object]","D","32"
"1.05","45","65.99","Realty Income Corporation","55","40","REIT - Retail","61751787520","67.15","71","3","100","50","Real Estate","3.19","4","9.57","O","59.3","72","[object Object]","9","[object Object]","C","50"
"0.62","45","32.77","Kinder Morgan, Inc.","55","40","Oil & Gas Midstream","72906907648","33.24","72","3","100","50","Energy","3.76","4","11.28","KMI","59.3","72","[object Object]","9","[object Object]","C","50"
"0.55","70","14.3","NPK International Inc.","38","50","Oil & Gas Equipment & Services","1208274176","15.05","73","2.24","70","50","Energy","7.64","4","17.13","NPKI","59.2","72","[object Object]","9","[object Object]","C","47"
"1.69","55","25.24","Innovative Solutions and Suppor","47","80","Aerospace & Defense","448725408","25.75","74","0.25","0","50","Industrials","8","3","2.02","ISSC","59.2","72","[object Object]","9","[object Object]","D","37"
"33.33","50","876.01","GE Vernova Inc.","32","55","Specialty Industrial Machinery","237679427584","894.93","75","3","100","50","Industrials","7.61","4","22.83","GEV","59.2","72","[object Object]","9","[object Object]","D","37"
"1.12","50","36.57","Pursuit Attractions and Hospita","38","50","Travel Services","1034318976","38.33","76","4.11","100","50","Consumer Cyclical","6.11","4","25.1","PRSU","59.2","72","[object Object]","9","[object Object]","C","47"
"0.85","45","27.62","ConnectOne Bancorp, Inc.","44","60","Banks - Regional","1388542720","29.09","77","2.39","70","50","Financial Services","6.17","4","14.77","CNOB","59.1","72","[object Object]","9","[object Object]","B","65"
"0.48","70","17.84","F.N.B. Corporation","24","60","Banks - Regional","6389156352","19.14","78","2.31","70","50","Financial Services","5.4","4","12.46","FNB","58.9","72","[object Object]","9","[object Object]","D","32"
"0.62","45","17.31","WisdomTree, Inc.","53","80","Asset Management","2435777792","17.33","79","1.4","0","50","Financial Services","7.13","4","10","WT","58.9","72","[object Object]","9","[object Object]","C","47"
"0.63","50","23.39","Concentra Group Holdings Parent","35","50","Medical Care Facilities","2997918464","24.68","80","4.14","100","50","Healthcare","5.35","4","22.15","CON","58.6","72","[object Object]","9","[object Object]","C","50"
"46.8","50","723.39","Lumentum Holdings Inc.","22","60","Communication Equipment","51650048000","507.55","81","3","100","50","Technology","8","3","24","LITE","58.5","72","[object Object]","9","[object Object]","D","37"
"7.48","35","132.12","Kaiser Aluminum Corporation","27","65","Aluminum","2141170304","150","82","3","100","50","Basic Materials","8","4","24","KALU","58.5","72","[object Object]","9","[object Object]","D","37"
"1.75","45","100.77","Canadian Imperial Bank of Comme","44","45","Banks - Diversified","93946314752","101.01","83","3","100","50","Financial Services","3.48","4","10.43","CM","58.4","72","[object Object]","9","[object Object]","D","32"
"3.21","65","155.82","TJX Companies, Inc. (The)","31","55","Apparel Retail","173418119168","162.68","84","2.33","70","50","Consumer Cyclical","4.13","4","9.63","TJX","58.3","72","[object Object]","9","[object Object]","D","35"
"1.32","55","66.27","Terreno Realty Corporation","55","70","REIT - Industrial","6868921856","66.74","85","1.26","0","50","Real Estate","3.98","4","5.01","TRNO","58.3","72","[object Object]","9","[object Object]","C","50"
"1.03","80","27.68","Riley Exploration Permian, Inc.","42","25","Oil & Gas E&P","610129344","29.19","86","8.88","100","50","Energy","7.45","4","66.18","REPX","58.2","72","[object Object]","9","[object Object]","B","62"
"2.18","70","35.5","Stoke Therapeutics, Inc.","27","55","Biotechnology","2027658880","37.73","87","2.18","70","50","Healthcare","8","4","17.46","STOK","58.2","72","[object Object]","9","[object Object]","D","37"
"1.1","45","58.53","MPLX LP","55","35","Oil & Gas Midstream","59528822784","59.25","88","3","100","50","Energy","3.75","4","11.25","MPLX","58.1","72","[object Object]","9","[object Object]","C","50"
"5.59","65","221.95","PNC Financial Services Group, I","24","60","Banks - Regional","89737469952","243.94","89","2.68","70","50","Financial Services","5.04","4","13.5","PNC","58.1","72","[object Object]","9","[object Object]","D","32"
"0.16","20","12.06","Calamos Convertible and High In","55","50","Asset Management","965101696","12.12","90","3","100","50","Financial Services","2.62","4","7.85","CHY","58.1","72","[object Object]","9","[object Object]","C","50"
"0.62","65","21.91","Provident Financial Services, I","24","60","Banks - Regional","2861936384","23.73","91","2.49","70","50","Financial Services","5.67","4","14.1","PFS","58.1","72","[object Object]","9","[object Object]","D","32"
"12.6","55","262.19","Vertiv Holdings, LLC","47","75","Electrical Equipment & Parts","100313489408","264.86","92","0.05","0","50","Industrials","8","2","0.38","VRT","58","72","[object Object]","9","[object Object]","D","37"
"0.76","70","17.32","Mama's Creations, Inc.","47","50","Packaged Foods","704115776","17.65","93","1.57","40","50","Consumer Defensive","8","4","12.59","MAMA","58","72","[object Object]","9","[object Object]","D","37"
"1","65","36.38","WesBanco, Inc.","40","45","Banks - Regional","3494937856","38.1","94","2.07","70","50","Financial Services","5.48","4","11.32","WSBC","57.6","72","[object Object]","9","[object Object]","C","50"
"9.24","70","226.66","SPX Technologies, Inc.","24","55","Building Products & Equipment","11295730688","246.68","95","2.07","70","50","Industrials","8","4","16.56","SPXC","57.6","72","[object Object]","9","[object Object]","D","32"
"9.96","65","342.89","GE Aerospace","44","70","Aerospace & Defense","361685155840","348.48","96","0.91","0","50","Industrials","5.81","4","5.31","GE","57.6","72","[object Object]","9","[object Object]","D","32"
"0.46","50","16.53","The RMR Group Inc.","24","55","Real Estate Services","281971680","18.09","97","5.13","100","50","Real Estate","5.57","4","28.55","RMR","57.6","72","[object Object]","9","[object Object]","D","32"
"0.8","75","10.93","Day One Biopharmaceuticals, Inc","36","30","Biotechnology","1122243328","12.15","98","13.52","100","50","Healthcare","8","3","108.14","DAWN","57.5","72","[object Object]","9","[object Object]","C","52"
"0.78","75","12.63","Tango Therapeutics, Inc.","36","30","Biotechnology","1700971648","13.6","99","3.01","100","50","Healthcare","8","4","24.04","TNGX","57.5","72","[object Object]","9","[object Object]","C","52"
"1.11","80","11.06","Amprius Technologies, Inc.","32","30","Electrical Equipment & Parts","1443151360","11.59","100","7.28","100","50","Industrials","8","2","58.23","AMPX","57.5","72","[object Object]","9","[object Object]","D","37"
"5.24","75","55.3","Hut 8 Corp.","36","30","Capital Markets","5974425600","61.82","101","3.55","100","50","Financial Services","8","3","28.39","HUT","57.5","72","[object Object]","9","[object Object]","C","52"
"3.26","65","144.15","Globe Life Inc.","24","45","Insurance - Life","11676659712","152.71","102","4.27","100","50","Financial Services","4.53","4","19.32","GL","57.4","72","[object Object]","9","[object Object]","D","32"
"6.47","55","230.73","Universal Health Services, Inc.","24","75","Medical Care Facilities","14683355136","246.13","103","1.69","40","50","Healthcare","5.61","4","9.5","UHS","57.4","72","[object Object]","9","[object Object]","D","32"
"0.11","30","10.69","Aberdeen Total Dynamic Dividend","44","50","Asset Management","1127057408","10.75","104","3","100","50","Financial Services","2.15","4","6.45","AOD","57.4","72","[object Object]","9","[object Object]","D","32"
"1.13","65","39.09","Atlantic Union Bankshares Corpo","33","50","Banks - Regional","5571035136","41.79","105","2.82","70","50","Financial Services","5.77","4","16.24","AUB","57.4","72","[object Object]","9","[object Object]","C","47"
"2.12","80","41.38","Terns Pharmaceuticals, Inc.","56","10","Biotechnology","4500790272","42.13","106","5.05","100","50","Healthcare","8","3","40.43","TERN","57.3","72","[object Object]","9","[object Object]","C","52"
"4.02","50","68.47","ACM Research, Inc.","41","40","Semiconductor Equipment & Materials","4442090496","70.1","107","3","100","50","Technology","8","2","24","ACMR","57.3","72","[object Object]","9","[object Object]","C","52"
"1.93","55","107.99","Federal Realty Investment Trust","55","50","REIT - Retail","9374097408","109.65","108","1.66","40","50","Real Estate","3.58","4","5.96","FRT","57.3","72","[object Object]","9","[object Object]","C","50"
"0.71","80","11.98","Entrada Therapeutics, Inc.","56","10","Biotechnology","457866368","12.16","109","6.8","100","50","Healthcare","8","4","54.42","TRDA","57.3","72","[object Object]","9","[object Object]","C","52"
"0.21","60","10.04","MFA Financial, Inc.","40","35","REIT - Mortgage","1030793792","10.33","110","11.04","100","50","Real Estate","4.25","4","46.91","MFA","57.3","72","[object Object]","9","[object Object]","C","50"
"21.33","65","784.28","Regeneron Pharmaceuticals, Inc.","38","45","Biotechnology","82913935360","820.12","111","2.01","70","50","Healthcare","5.44","4","10.92","REGN","57.2","72","[object Object]","9","[object Object]","C","47"
"0.28","30","23.28","Adams Diversified Equity Fund I","55","40","Asset Management","2796513024","23.49","112","3","100","50","Financial Services","2.42","4","7.26","ADX","57.1","72","[object Object]","9","[object Object]","C","50"
"5.5","65","208.86","ITT Inc.","44","40","Specialty Industrial Machinery","17970317312","209.31","113","2.19","70","50","Industrials","5.27","4","11.56","ITT","57.1","72","[object Object]","9","[object Object]","D","32"
"23.8","75","590.03","CACI International, Inc.","24","50","Information Technology Services","13031269376","683.5","114","2.81","70","50","Technology","8","4","22.45","CACI","57.1","72","[object Object]","9","[object Object]","D","32"
"1.64","60","24.59","Coeur Mining, Inc.","32","80","Gold","15789178880","25.36","115","1.3","0","50","Basic Materials","8","3","10.38","CDE","57","72","[object Object]","9","[object Object]","D","37"
"3.38","65","125.75","Walmart Inc.","24","40","Discount Stores","1002586046464","134.69","116","1.5","40","86.4","Consumer Defensive","5.38","4","8.07","WMT","57","95","[object Object]","10","[object Object]","D","32"
"1.53","65","55.84","Sonoco Products Company","31","50","Packaging & Containers","5507667456","58.44","117","2.91","70","50","Consumer Cyclical","5.48","4","15.96","SON","57","72","[object Object]","9","[object Object]","D","35"
"1.85","35","37.92","Oceaneering International, Inc.","32","55","Oil & Gas Equipment & Services","3799872000","39","118","3","100","50","Energy","8","3","24","OII","57","72","[object Object]","9","[object Object]","D","37"
"1.37","75","11.77","LightPath Technologies, Inc.","46","20","Electronic Components","679230272","13.76","119","3.54","100","50","Technology","8","2","28.29","LPTH","57","72","[object Object]","9","[object Object]","B","69"
"1.96","30","68.92","St. Joe Company (The)","29","60","Real Estate - Diversified","3991034112","71.9","120","3","100","50","Real Estate","5.69","4","17.06","JOE","56.9","72","[object Object]","9","[object Object]","D","32"
"3.51","55","126.67","Arcosa, Inc.","29","45","Engineering & Construction","6212533248","131","121","3","100","50","Industrials","5.54","4","16.61","ACA","56.9","72","[object Object]","9","[object Object]","D","32"
"1.31","65","31.7","Carnival Corporation","24","55","Travel Services","43819450368","33.87","122","2.49","70","50","Consumer Cyclical","8","4","19.89","CCL","56.9","72","[object Object]","9","[object Object]","D","32"
"54.33","40","1231.95","Monolithic Power Systems, Inc.","53","75","Semiconductors","60007051264","1256.22","123","0.98","0","50","Technology","8","4","7.82","MPWR","56.9","72","[object Object]","9","[object Object]","C","47"
"0.47","75","10.31","Crescent Energy Company","33","30","Oil & Gas E&P","3385622272","10.87","124","3.52","100","50","Energy","8","4","28.17","CRGY","56.9","72","[object Object]","9","[object Object]","C","47"
"3.35","65","95.18","Axos Financial, Inc.","24","55","Banks - Regional","5394635776","101.92","125","2.51","70","50","Financial Services","7.04","4","17.67","AX","56.9","72","[object Object]","9","[object Object]","D","32"
"0.51","65","24.53","Smithfield Foods, Inc.","40","30","Packaged Foods","9643055104","25.5","126","4.69","100","50","Consumer Defensive","4.2","4","19.68","SFD","56.8","72","[object Object]","9","[object Object]","C","50"
"17.65","50","267.9","Coherent Corp.","32","45","Scientific & Technical Instruments","50226388992","276.5","127","3","100","50","Technology","8","3","24","COHR","56.7","72","[object Object]","9","[object Object]","D","37"
"3.1","45","129.58","Brinks Company (The)","38","55","Security & Protection Services","5398599168","133.62","128","2.65","70","50","Industrials","4.78","4","12.67","BCO","56.7","72","[object Object]","9","[object Object]","C","47"
"2.13","30","56.43","Acadian Asset Management Inc.","53","40","Asset Management","2020866176","56.97","129","3","100","50","Financial Services","7.54","4","22.62","AAMI","56.7","72","[object Object]","9","[object Object]","C","47"
"5.27","30","105.83","FormFactor, Inc.","47","45","Semiconductor Equipment & Materials","8203634176","107.04","130","3","100","50","Technology","8","2","24","FORM","56.7","72","[object Object]","9","[object Object]","D","37"
"1.83","45","30.49","SSR Mining Inc.","32","60","Gold","6199418368","31.68","131","3","70","50","Basic Materials","8","4","24","SSRM","56.7","72","[object Object]","9","[object Object]","D","37"
"0.1","35","15.35","DigitalBridge Group, Inc.","80","15","Asset Management","2995012352","15.47","132","3.16","100","50","Financial Services","1.34","4","4.23","DBRG","56.6","72","[object Object]","9","[object Object]","A","92"
"9.41","65","208.27","BWX Technologies, Inc.","45","65","Aerospace & Defense","19045269504","220.57","133","1.29","0","50","Industrials","8","4","10.33","BWXT","56.6","72","[object Object]","9","[object Object]","B","67"
"23.41","45","766.61","Caterpillar, Inc.","29","50","Farm & Heavy Construction Machinery","358757826560","789.81","134","3","100","50","Industrials","6.11","4","18.32","CAT","56.6","72","[object Object]","9","[object Object]","D","32"
"9.17","65","363.03","Cencora, Inc.","29","50","Medical Distribution","70620479488","376.89","135","2.22","70","50","Healthcare","5.05","4","11.23","COR","56.6","72","[object Object]","9","[object Object]","D","32"
"7.51","50","223.1","Five Below, Inc.","44","75","Specialty Retail","12305546240","224.8","136","0.18","0","50","Consumer Cyclical","6.73","4","1.22","FIVE","56.6","72","[object Object]","9","[object Object]","D","32"
"0.83","50","42.22","CSX Corporation","44","35","Railroads","78510489600","42.69","137","3","100","50","Industrials","3.91","4","11.73","CSX","56.6","72","[object Object]","9","[object Object]","D","32"
"1.31","80","16.85","Avalo Therapeutics, Inc.","65","0","Biotechnology","312032480","17.11","138","14.28","100","50","Healthcare","8","4","114.25","AVTX","56.6","72","[object Object]","9","[object Object]","B","67"
"7.8","30","386.46","Snap-On Incorporated","46","45","Tools & Accessories","20098840576","390.13","139","3","100","50","Industrials","4.03","4","12.1","SNA","56.5","72","[object Object]","9","[object Object]","D","35"
